repeatable:  []
repeatable:  []
repeatable:  []
repeatable:  []
repeatable:  []
1678423558708 - Worker d2649e9f starting job loadTokenPrices-444, id: loadTokenPrices-444
1678423591081 - Worker d2649e9f finished job loadTokenPrices-111, id: loadTokenPrices-111
1678423591769 - Worker 0c6006ef finished job loadTokenPrices-222, id: loadTokenPrices-222
1678423591802 - Worker 49cc8d2d starting job loadTokenPrices-111, id: loadTokenPrices-111
1678423591803 - Worker 49cc8d2d starting job loadTokenPrices-222, id: loadTokenPrices-222
1678423592189 - Worker 0c6006ef finished job updatePools-333, id: updatePools-333
1678423593705 - Worker 3eab410a starting job updatePools-333, id: updatePools-333
1678423593709 - Worker 0c6006ef starting job updatePools-222, id: updatePools-222
1678423593729 - Worker 49cc8d2d finished job loadTokenPrices-222, id: loadTokenPrices-222
1678423593803 - Worker 49cc8d2d starting job loadTokenPrices-222, id: loadTokenPrices-222
1678423593912 - Worker 0c6006ef finished job loadTokenPrices-333, id: loadTokenPrices-333
1678423593963 - Worker 754a7557 starting job loadTokenPrices-333, id: loadTokenPrices-333
1678423593991 - Worker d2649e9f finished job updatePools-555, id: updatePools-555
1678423594603 - Worker 754a7557 finished job loadTokenPrices-333, id: loadTokenPrices-333
1678423594803 - Worker 3eab410a starting job loadTokenPrices-333, id: loadTokenPrices-333
1678423595569 - Worker d2649e9f finished job loadTokenPrices-444, id: loadTokenPrices-444
1678423595585 - Worker 754a7557 finished job loadTokenPrices-555, id: loadTokenPrices-555
1678423595808 - Worker d2649e9f starting job loadTokenPrices-444, id: loadTokenPrices-444
1678423595808 - Worker 0c6006ef starting job loadTokenPrices-555, id: loadTokenPrices-555
1678423596129 - Worker 49cc8d2d finished job loadTokenPrices-111, id: loadTokenPrices-111
1678423596172 - Worker 3eab410a finished job loadTokenPrices-333, id: loadTokenPrices-333
1678423596734 - Worker d2649e9f finished job updatePools-111, id: updatePools-111
1678423596806 - Worker 49cc8d2d starting job loadTokenPrices-111, id: loadTokenPrices-111
1678423596807 - Worker 0c6006ef starting job loadTokenPrices-333, id: loadTokenPrices-333
1678423598085 - Worker 49cc8d2d finished job loadTokenPrices-222, id: loadTokenPrices-222
1678423598392 - Worker d2649e9f finished job loadTokenPrices-444, id: loadTokenPrices-444
1678423598703 - Worker 49cc8d2d starting job updatePools-111, id: updatePools-111
1678423598706 - Worker 3eab410a starting job updatePools-555, id: updatePools-555
1678423598803 - Worker 3eab410a starting job loadTokenPrices-222, id: loadTokenPrices-222
1678423598805 - Worker 49cc8d2d starting job loadTokenPrices-444, id: loadTokenPrices-444
1678423600083 - Worker 49cc8d2d finished job loadTokenPrices-444, id: loadTokenPrices-444
1678423600220 - Worker 49cc8d2d finished job loadTokenPrices-111, id: loadTokenPrices-111
1678423600557 - Worker 3eab410a finished job loadTokenPrices-222, id: loadTokenPrices-222
1678423600804 - Worker 0c6006ef starting job loadTokenPrices-111, id: loadTokenPrices-111
1678423600811 - Worker 49cc8d2d starting job loadTokenPrices-222, id: loadTokenPrices-222
1678423600812 - Worker 3eab410a starting job loadTokenPrices-444, id: loadTokenPrices-444
1678423601289 - Worker 0c6006ef finished job loadTokenPrices-555, id: loadTokenPrices-555
1678423601785 - Worker 49cc8d2d finished job updatePools-111, id: updatePools-111
1678423601814 - Worker 49cc8d2d starting job loadTokenPrices-555, id: loadTokenPrices-555
1678423602218 - Worker 0c6006ef finished job loadTokenPrices-333, id: loadTokenPrices-333
1678423602813 - Worker d2649e9f starting job loadTokenPrices-333, id: loadTokenPrices-333
1678423602891 - Worker 49cc8d2d finished job loadTokenPrices-222, id: loadTokenPrices-222
1678423602901 - Worker 49cc8d2d starting job loadTokenPrices-222, id: loadTokenPrices-222
1678423603704 - Worker 49cc8d2d starting job updatePools-111, id: updatePools-111
1678423604125 - Worker 49cc8d2d finished job updatePools-111, id: updatePools-111
1678423604494 - Worker 0c6006ef finished job loadTokenPrices-111, id: loadTokenPrices-111
1678423604809 - Worker 0c6006ef starting job loadTokenPrices-111, id: loadTokenPrices-111
1678423605269 - Worker 3eab410a finished job loadTokenPrices-444, id: loadTokenPrices-444
1678423605812 - Worker 0c6006ef starting job loadTokenPrices-444, id: loadTokenPrices-444
1678423606982 - Worker 3eab410a finished job updatePools-555, id: updatePools-555
1678423607084 - Worker 49cc8d2d finished job loadTokenPrices-555, id: loadTokenPrices-555
1678423607621 - Worker d2649e9f finished job loadTokenPrices-333, id: loadTokenPrices-333
1678423607811 - Worker 49cc8d2d starting job loadTokenPrices-333, id: loadTokenPrices-333
1678423607813 - Worker 3eab410a starting job loadTokenPrices-555, id: loadTokenPrices-555
1678423607945 - Worker 49cc8d2d finished job loadTokenPrices-222, id: loadTokenPrices-222
1678423607993 - Worker 3eab410a starting job loadTokenPrices-222, id: loadTokenPrices-222
1678423608275 - Worker 0c6006ef finished job updatePools-222, id: updatePools-222
1678423608306 - Worker 0c6006ef finished job loadTokenPrices-444, id: loadTokenPrices-444
1678423608709 - Worker 49cc8d2d starting job updatePools-111, id: updatePools-111
1678423608711 - Worker 49cc8d2d starting job updatePools-222, id: updatePools-222
1678423608712 - Worker 49cc8d2d starting job updatePools-555, id: updatePools-555
1678423608812 - Worker 3eab410a starting job loadTokenPrices-444, id: loadTokenPrices-444
1678423609541 - Worker 3eab410a finished job loadTokenPrices-222, id: loadTokenPrices-222
1678423609785 - Worker 0c6006ef finished job loadTokenPrices-111, id: loadTokenPrices-111
1678423609812 - Worker d2649e9f starting job loadTokenPrices-111, id: loadTokenPrices-111
1678423609812 - Worker 49cc8d2d starting job loadTokenPrices-222, id: loadTokenPrices-222
1678423610991 - Worker 3eab410a finished job loadTokenPrices-555, id: loadTokenPrices-555
1678423610996 - Worker 49cc8d2d starting job loadTokenPrices-555, id: loadTokenPrices-555
1678423611865 - Worker 3eab410a finished job loadTokenPrices-444, id: loadTokenPrices-444
1678423611911 - Worker 0c6006ef starting job loadTokenPrices-444, id: loadTokenPrices-444
1678423612313 - Worker d2649e9f finished job loadTokenPrices-111, id: loadTokenPrices-111
1678423612577 - Worker 49cc8d2d finished job loadTokenPrices-333, id: loadTokenPrices-333
1678423612815 - Worker 49cc8d2d starting job loadTokenPrices-111, id: loadTokenPrices-111
1678423612816 - Worker 0c6006ef starting job loadTokenPrices-333, id: loadTokenPrices-333
1678423613409 - Worker 3eab410a finished job updatePools-333, id: updatePools-333
1678423613715 - Worker 3eab410a starting job updatePools-333, id: updatePools-333
1678423613721 - Worker 49cc8d2d finished job loadTokenPrices-555, id: loadTokenPrices-555
1678423613823 - Worker 754a7557 starting job loadTokenPrices-555, id: loadTokenPrices-555
1678423614569 - Worker 0c6006ef finished job loadTokenPrices-444, id: loadTokenPrices-444
1678423614818 - Worker 3eab410a starting job loadTokenPrices-444, id: loadTokenPrices-444
1678423614975 - Worker 0c6006ef finished job updatePools-444, id: updatePools-444
1678423615175 - Worker 49cc8d2d finished job loadTokenPrices-222, id: loadTokenPrices-222
1678423615821 - Worker 3eab410a starting job loadTokenPrices-222, id: loadTokenPrices-222
1678423616156 - Worker 49cc8d2d finished job loadTokenPrices-111, id: loadTokenPrices-111
1678423616237 - Worker 0c6006ef finished job loadTokenPrices-333, id: loadTokenPrices-333
1678423616817 - Worker 3eab410a starting job loadTokenPrices-111, id: loadTokenPrices-111
1678423616819 - Worker d2649e9f starting job loadTokenPrices-333, id: loadTokenPrices-333
1678423617194 - Worker 49cc8d2d finished job updatePools-555, id: updatePools-555
1678423617659 - Worker 3eab410a finished job updatePools-333, id: updatePools-333
1678423618368 - Worker 754a7557 finished job loadTokenPrices-555, id: loadTokenPrices-555
1678423618714 - Worker 3eab410a starting job updatePools-333, id: updatePools-333
1678423618716 - Worker 3eab410a starting job updatePools-444, id: updatePools-444
1678423618716 - Worker d2649e9f starting job updatePools-555, id: updatePools-555
1678423618823 - Worker 754a7557 starting job loadTokenPrices-555, id: loadTokenPrices-555
1678423619618 - Worker 754a7557 finished job loadTokenPrices-555, id: loadTokenPrices-555
1678423619826 - Worker 49cc8d2d starting job loadTokenPrices-555, id: loadTokenPrices-555
1678423619869 - Worker 3eab410a finished job loadTokenPrices-444, id: loadTokenPrices-444
1678423619918 - Worker 49cc8d2d starting job loadTokenPrices-444, id: loadTokenPrices-444
1678423620379 - Worker 3eab410a finished job loadTokenPrices-111, id: loadTokenPrices-111
1678423620821 - Worker d2649e9f starting job loadTokenPrices-111, id: loadTokenPrices-111
1678423621103 - Worker 3eab410a finished job loadTokenPrices-222, id: loadTokenPrices-222
1678423621381 - Worker d2649e9f finished job loadTokenPrices-333, id: loadTokenPrices-333
1678423621822 - Worker 49cc8d2d starting job loadTokenPrices-222, id: loadTokenPrices-222
1678423621833 - Worker d2649e9f starting job loadTokenPrices-333, id: loadTokenPrices-333
1678423623361 - Worker 49cc8d2d finished job loadTokenPrices-555, id: loadTokenPrices-555
1678423623802 - Worker 49cc8d2d finished job loadTokenPrices-444, id: loadTokenPrices-444
1678423623826 - Worker 754a7557 starting job loadTokenPrices-444, id: loadTokenPrices-444
1678423623828 - Worker 754a7557 starting job loadTokenPrices-555, id: loadTokenPrices-555
1678423624948 - Worker d2649e9f finished job loadTokenPrices-111, id: loadTokenPrices-111
1678423624970 - Worker 3eab410a starting job loadTokenPrices-111, id: loadTokenPrices-111
1678423625997 - Worker 754a7557 finished job loadTokenPrices-555, id: loadTokenPrices-555
1678423626033 - Worker 3eab410a starting job loadTokenPrices-555, id: loadTokenPrices-555
1678423626141 - Worker 754a7557 finished job loadTokenPrices-444, id: loadTokenPrices-444
1678423626257 - Worker d2649e9f finished job loadTokenPrices-333, id: loadTokenPrices-333
1678423626443 - Worker 49cc8d2d finished job loadTokenPrices-222, id: loadTokenPrices-222
1678423626826 - Worker 49cc8d2d starting job loadTokenPrices-222, id: loadTokenPrices-222
1678423626827 - Worker 754a7557 starting job loadTokenPrices-333, id: loadTokenPrices-333
1678423626828 - Worker 49cc8d2d starting job loadTokenPrices-444, id: loadTokenPrices-444
1678423626931 - Worker 3eab410a finished job loadTokenPrices-111, id: loadTokenPrices-111
1678423626967 - Worker 49cc8d2d starting job loadTokenPrices-111, id: loadTokenPrices-111
1678423627641 - Worker 49cc8d2d finished job loadTokenPrices-444, id: loadTokenPrices-444
1678423627826 - Worker 3eab410a starting job loadTokenPrices-444, id: loadTokenPrices-444
1678423628824 - Worker 49cc8d2d finished job loadTokenPrices-111, id: loadTokenPrices-111
1678423628826 - Worker 0c6006ef starting job loadTokenPrices-111, id: loadTokenPrices-111
1678423629377 - Worker 49cc8d2d finished job loadTokenPrices-222, id: loadTokenPrices-222
1678423629826 - Worker d2649e9f starting job loadTokenPrices-222, id: loadTokenPrices-222
1678423630063 - Worker 49cc8d2d finished job updatePools-222, id: updatePools-222
1678423630165 - Worker 3eab410a finished job loadTokenPrices-555, id: loadTokenPrices-555
1678423630828 - Worker 0c6006ef finished job loadTokenPrices-111, id: loadTokenPrices-111
1678423630828 - Worker 754a7557 starting job loadTokenPrices-555, id: loadTokenPrices-555
1678423630940 - Worker 754a7557 starting job loadTokenPrices-111, id: loadTokenPrices-111
1678423631565 - Worker 754a7557 finished job loadTokenPrices-333, id: loadTokenPrices-333
1678423631830 - Worker 3eab410a starting job loadTokenPrices-333, id: loadTokenPrices-333
1678423632152 - Worker 3eab410a finished job loadTokenPrices-444, id: loadTokenPrices-444
1678423632561 - Worker 754a7557 finished job loadTokenPrices-555, id: loadTokenPrices-555
1678423632838 - Worker 49cc8d2d starting job loadTokenPrices-444, id: loadTokenPrices-444
1678423632839 - Worker 49cc8d2d starting job loadTokenPrices-555, id: loadTokenPrices-555
1678423633219 - Worker d2649e9f finished job loadTokenPrices-222, id: loadTokenPrices-222
1678423633387 - Worker 49cc8d2d finished job loadTokenPrices-555, id: loadTokenPrices-555
1678423633722 - Worker 49cc8d2d starting job updatePools-222, id: updatePools-222
1678423633833 - Worker 0c6006ef starting job loadTokenPrices-222, id: loadTokenPrices-222
1678423633836 - Worker 754a7557 starting job loadTokenPrices-555, id: loadTokenPrices-555
1678423633963 - Worker 754a7557 finished job loadTokenPrices-111, id: loadTokenPrices-111
1678423633963 - Worker 3eab410a finished job updatePools-444, id: updatePools-444
1678423633972 - Worker 0c6006ef starting job loadTokenPrices-111, id: loadTokenPrices-111
1678423635681 - Worker 3eab410a finished job updatePools-333, id: updatePools-333
1678423635781 - Worker 49cc8d2d finished job updatePools-111, id: updatePools-111
1678423636992 - Worker 754a7557 finished job loadTokenPrices-555, id: loadTokenPrices-555
1678423637049 - Worker 3eab410a starting job loadTokenPrices-555, id: loadTokenPrices-555
1678423637099 - Worker 49cc8d2d finished job loadTokenPrices-444, id: loadTokenPrices-444
1678423637169 - Worker 3eab410a finished job loadTokenPrices-333, id: loadTokenPrices-333
1678423637843 - Worker d2649e9f starting job loadTokenPrices-333, id: loadTokenPrices-333
1678423637843 - Worker 49cc8d2d starting job loadTokenPrices-444, id: loadTokenPrices-444
1678423637961 - Worker 0c6006ef finished job loadTokenPrices-111, id: loadTokenPrices-111
1678423637980 - Worker 754a7557 starting job loadTokenPrices-111, id: loadTokenPrices-111
1678423638433 - Worker d2649e9f finished job loadTokenPrices-333, id: loadTokenPrices-333
1678423638721 - Worker 0c6006ef starting job updatePools-333, id: updatePools-333
1678423638721 - Worker 3eab410a starting job updatePools-111, id: updatePools-111
1678423638722 - Worker 754a7557 starting job updatePools-444, id: updatePools-444
1678423638847 - Worker 3eab410a starting job loadTokenPrices-333, id: loadTokenPrices-333
1678423639261 - Worker 0c6006ef finished job loadTokenPrices-222, id: loadTokenPrices-222
1678423639313 - Worker 754a7557 finished job loadTokenPrices-111, id: loadTokenPrices-111
1678423639619 - Worker 3eab410a finished job loadTokenPrices-333, id: loadTokenPrices-333
1678423639821 - Worker 49cc8d2d finished job loadTokenPrices-444, id: loadTokenPrices-444
1678423639845 - Worker d2649e9f starting job loadTokenPrices-111, id: loadTokenPrices-111
1678423639845 - Worker 3eab410a starting job loadTokenPrices-222, id: loadTokenPrices-222
1678423639846 - Worker 3eab410a starting job loadTokenPrices-333, id: loadTokenPrices-333
1678423639847 - Worker 754a7557 starting job loadTokenPrices-444, id: loadTokenPrices-444
1678423639864 - Worker 0c6006ef finished job updatePools-333, id: updatePools-333
1678423640279 - Worker 3eab410a finished job loadTokenPrices-555, id: loadTokenPrices-555
1678423640849 - Worker 49cc8d2d starting job loadTokenPrices-555, id: loadTokenPrices-555
1678423641016 - Worker d2649e9f finished job updatePools-555, id: updatePools-555
1678423641050 - Worker 754a7557 finished job loadTokenPrices-444, id: loadTokenPrices-444
1678423641854 - Worker 754a7557 starting job loadTokenPrices-444, id: loadTokenPrices-444
1678423642517 - Worker 3eab410a finished job loadTokenPrices-222, id: loadTokenPrices-222
1678423642861 - Worker 0c6006ef starting job loadTokenPrices-222, id: loadTokenPrices-222
1678423642949 - Worker 49cc8d2d finished job loadTokenPrices-555, id: loadTokenPrices-555
1678423642954 - Worker d2649e9f starting job loadTokenPrices-555, id: loadTokenPrices-555
1678423643400 - Worker 3eab410a finished job loadTokenPrices-333, id: loadTokenPrices-333
1678423643429 - Worker 0c6006ef finished job loadTokenPrices-222, id: loadTokenPrices-222
1678423643725 - Worker 754a7557 starting job updatePools-333, id: updatePools-333
1678423643727 - Worker 754a7557 starting job updatePools-555, id: updatePools-555
1678423643784 - Worker 754a7557 finished job loadTokenPrices-444, id: loadTokenPrices-444
1678423643851 - Worker 0c6006ef starting job loadTokenPrices-222, id: loadTokenPrices-222
1678423643851 - Worker 754a7557 starting job loadTokenPrices-333, id: loadTokenPrices-333
1678423643852 - Worker 3eab410a starting job loadTokenPrices-444, id: loadTokenPrices-444
1678423644473 - Worker d2649e9f finished job loadTokenPrices-555, id: loadTokenPrices-555
1678423644820 - Worker d2649e9f finished job loadTokenPrices-111, id: loadTokenPrices-111
1678423644851 - Worker 3eab410a starting job loadTokenPrices-111, id: loadTokenPrices-111
1678423644853 - Worker 0c6006ef starting job loadTokenPrices-555, id: loadTokenPrices-555
1678423646253 - Worker 3eab410a finished job updatePools-111, id: updatePools-111
1678423647417 - Worker 3eab410a finished job loadTokenPrices-111, id: loadTokenPrices-111
1678423647720 - Worker 754a7557 finished job loadTokenPrices-333, id: loadTokenPrices-333
1678423647863 - Worker 49cc8d2d starting job loadTokenPrices-111, id: loadTokenPrices-111
1678423647863 - Worker 3eab410a starting job loadTokenPrices-333, id: loadTokenPrices-333
1678423647918 - Worker 0c6006ef finished job loadTokenPrices-555, id: loadTokenPrices-555
1678423647957 - Worker 0c6006ef starting job loadTokenPrices-555, id: loadTokenPrices-555
1678423648219 - Worker 0c6006ef finished job loadTokenPrices-222, id: loadTokenPrices-222
1678423648633 - Worker 754a7557 finished job updatePools-444, id: updatePools-444
1678423648634 - Worker 3eab410a finished job loadTokenPrices-444, id: loadTokenPrices-444
1678423648722 - Worker 754a7557 starting job updatePools-111, id: updatePools-111
1678423648724 - Worker 754a7557 starting job updatePools-444, id: updatePools-444
1678423648859 - Worker d2649e9f starting job loadTokenPrices-222, id: loadTokenPrices-222
1678423648861 - Worker d2649e9f starting job loadTokenPrices-444, id: loadTokenPrices-444
1678423650609 - Worker d2649e9f finished job loadTokenPrices-222, id: loadTokenPrices-222
1678423650790 - Worker 0c6006ef finished job loadTokenPrices-555, id: loadTokenPrices-555
1678423650866 - Worker 754a7557 starting job loadTokenPrices-222, id: loadTokenPrices-222
1678423650868 - Worker d2649e9f starting job loadTokenPrices-555, id: loadTokenPrices-555
1678423652219 - Worker 754a7557 finished job loadTokenPrices-222, id: loadTokenPrices-222
1678423652313 - Worker 49cc8d2d finished job loadTokenPrices-111, id: loadTokenPrices-111
1678423652869 - Worker 0c6006ef starting job loadTokenPrices-111, id: loadTokenPrices-111
1678423652871 - Worker 0c6006ef starting job loadTokenPrices-222, id: loadTokenPrices-222
1678423653164 - Worker 3eab410a finished job loadTokenPrices-333, id: loadTokenPrices-333
1678423653608 - Worker d2649e9f finished job loadTokenPrices-555, id: loadTokenPrices-555
1678423653870 - Worker 49cc8d2d starting job loadTokenPrices-333, id: loadTokenPrices-333
1678423653880 - Worker d2649e9f starting job loadTokenPrices-555, id: loadTokenPrices-555
1678423654245 - Worker d2649e9f finished job loadTokenPrices-444, id: loadTokenPrices-444
1678423654353 - Worker 0c6006ef finished job loadTokenPrices-111, id: loadTokenPrices-111
1678423654872 - Worker 0c6006ef starting job loadTokenPrices-111, id: loadTokenPrices-111
1678423654874 - Worker d2649e9f starting job loadTokenPrices-444, id: loadTokenPrices-444
1678423656657 - Worker 49cc8d2d finished job loadTokenPrices-333, id: loadTokenPrices-333
1678423656757 - Worker 0c6006ef finished job loadTokenPrices-222, id: loadTokenPrices-222
1678423656874 - Worker 754a7557 starting job loadTokenPrices-333, id: loadTokenPrices-333
1678423656875 - Worker 49cc8d2d starting job loadTokenPrices-222, id: loadTokenPrices-222
1678423657249 - Worker d2649e9f finished job loadTokenPrices-555, id: loadTokenPrices-555
1678423657876 - Worker 3eab410a starting job loadTokenPrices-555, id: loadTokenPrices-555
1678423658732 - Worker 0c6006ef finished job loadTokenPrices-111, id: loadTokenPrices-111
1678423658873 - Worker 754a7557 starting job loadTokenPrices-111, id: loadTokenPrices-111
1678423658943 - Worker 49cc8d2d finished job updatePools-222, id: updatePools-222
1678423658945 - Worker d2649e9f finished job loadTokenPrices-444, id: loadTokenPrices-444
1678423658973 - Worker d2649e9f starting job loadTokenPrices-444, id: loadTokenPrices-444
1678423660704 - Worker 754a7557 finished job loadTokenPrices-333, id: loadTokenPrices-333
1678423660879 - Worker 0c6006ef starting job loadTokenPrices-333, id: loadTokenPrices-333
1678423661147 - Worker 49cc8d2d finished job loadTokenPrices-222, id: loadTokenPrices-222
1678423661793 - Worker 3eab410a finished job loadTokenPrices-555, id: loadTokenPrices-555
1678423661878 - Worker 3eab410a starting job loadTokenPrices-555, id: loadTokenPrices-555
1678423661879 - Worker d2649e9f starting job loadTokenPrices-222, id: loadTokenPrices-222
1678423662267 - Worker 754a7557 finished job loadTokenPrices-111, id: loadTokenPrices-111
1678423662883 - Worker d2649e9f starting job loadTokenPrices-111, id: loadTokenPrices-111
1678423663621 - Worker d2649e9f finished job loadTokenPrices-222, id: loadTokenPrices-222
1678423663724 - Worker 754a7557 starting job updatePools-222, id: updatePools-222
1678423663728 - Worker 0c6006ef finished job loadTokenPrices-333, id: loadTokenPrices-333
1678423663879 - Worker d2649e9f starting job loadTokenPrices-222, id: loadTokenPrices-222
1678423663880 - Worker 0c6006ef starting job loadTokenPrices-333, id: loadTokenPrices-333
1678423664092 - Worker 3eab410a finished job loadTokenPrices-555, id: loadTokenPrices-555
1678423664104 - Worker 754a7557 starting job loadTokenPrices-555, id: loadTokenPrices-555
1678423664381 - Worker d2649e9f finished job loadTokenPrices-444, id: loadTokenPrices-444
1678423664519 - Worker 754a7557 finished job updatePools-444, id: updatePools-444
1678423664885 - Worker 0c6006ef starting job loadTokenPrices-444, id: loadTokenPrices-444
1678423665353 - Worker 0c6006ef finished job loadTokenPrices-333, id: loadTokenPrices-333
1678423665369 - Worker 754a7557 finished job updatePools-555, id: updatePools-555
1678423665649 - Worker 754a7557 finished job loadTokenPrices-555, id: loadTokenPrices-555
1678423665799 - Worker 754a7557 finished job updatePools-222, id: updatePools-222
1678423665887 - Worker 49cc8d2d starting job loadTokenPrices-333, id: loadTokenPrices-333
1678423665888 - Worker d2649e9f starting job loadTokenPrices-555, id: loadTokenPrices-555
1678423666481 - Worker 754a7557 finished job updatePools-333, id: updatePools-333
1678423668063 - Worker d2649e9f finished job loadTokenPrices-111, id: loadTokenPrices-111
1678423668108 - Worker d2649e9f starting job loadTokenPrices-111, id: loadTokenPrices-111
1678423668553 - Worker 0c6006ef finished job loadTokenPrices-444, id: loadTokenPrices-444
1678423668727 - Worker 3eab410a starting job updatePools-222, id: updatePools-222
1678423668728 - Worker 754a7557 starting job updatePools-444, id: updatePools-444
1678423668728 - Worker 49cc8d2d starting job updatePools-333, id: updatePools-333
1678423668728 - Worker d2649e9f starting job updatePools-555, id: updatePools-555
1678423668758 - Worker d2649e9f finished job loadTokenPrices-222, id: loadTokenPrices-222
1678423668892 - Worker 3eab410a starting job loadTokenPrices-222, id: loadTokenPrices-222
1678423668894 - Worker d2649e9f starting job loadTokenPrices-444, id: loadTokenPrices-444
1678423669336 - Worker d2649e9f finished job loadTokenPrices-111, id: loadTokenPrices-111
1678423669765 - Worker 754a7557 finished job updatePools-111, id: updatePools-111
1678423669893 - Worker 0c6006ef starting job loadTokenPrices-111, id: loadTokenPrices-111
1678423669923 - Worker d2649e9f finished job loadTokenPrices-444, id: loadTokenPrices-444
1678423669986 - Worker 754a7557 starting job loadTokenPrices-444, id: loadTokenPrices-444
1678423670497 - Worker d2649e9f finished job loadTokenPrices-555, id: loadTokenPrices-555
1678423670897 - Worker 754a7557 starting job loadTokenPrices-555, id: loadTokenPrices-555
